row ID;row m/z;row retention time;250924_EI_QC_1_nr8.mzML Peak area;250924_EI_QC_2_nr8.mzML Peak area;250924_EI_QC_3_nr8.mzML Peak area;250924_EI_QC_4_nr8.mzML Peak area;250924_EI_QC_5_nr8.mzML Peak area;250924_EI_sample_10_nr8.mzML Peak area;250924_EI_sample_11_nr8.mzML Peak area;250924_EI_sample_12_nr8.mzML Peak area;250924_EI_sample_13_nr8.mzML Peak area;250924_EI_sample_14_nr8.mzML Peak area;250924_EI_sample_15_nr8.mzML Peak area;250924_EI_sample_16_nr8.mzML Peak area;250924_EI_sample_17_nr8.mzML Peak area;250924_EI_sample_18_nr8.mzML Peak area;250924_EI_sample_19_nr8.mzML Peak area;250924_EI_sample_1_nr8.mzML Peak area;250924_EI_sample_20_nr8.mzML Peak area;250924_EI_sample_21_nr8.mzML Peak area;250924_EI_sample_22_nr8.mzML Peak area;250924_EI_sample_23_nr8.mzML Peak area;250924_EI_sample_24_nr8.mzML Peak area;250924_EI_sample_25_nr8.mzML Peak area;250924_EI_sample_26_nr8.mzML Peak area;250924_EI_sample_27_nr8.mzML Peak area;250924_EI_sample_28_nr8.mzML Peak area;250924_EI_sample_29_nr8.mzML Peak area;250924_EI_sample_2_nr8.mzML Peak area;250924_EI_sample_30_nr8.mzML Peak area;250924_EI_sample_31_nr8.mzML Peak area;250924_EI_sample_32_nr8.mzML Peak area;250924_EI_sample_33_nr8.mzML Peak area;250924_EI_sample_34_nr8.mzML Peak area;250924_EI_sample_35_nr8.mzML Peak area;250924_EI_sample_36_nr8.mzML Peak area;250924_EI_sample_37_nr8.mzML Peak area;250924_EI_sample_38_nr8.mzML Peak area;250924_EI_sample_39_nr8.mzML Peak area;250924_EI_sample_3_nr8.mzML Peak area;250924_EI_sample_40_nr8.mzML Peak area;250924_EI_sample_41_nr8.mzML Peak area;250924_EI_sample_42_nr8.mzML Peak area;250924_EI_sample_43_nr8.mzML Peak area;250924_EI_sample_44_nr8.mzML Peak area;250924_EI_sample_45_nr8.mzML Peak area;250924_EI_sample_46_nr8.mzML Peak area;250924_EI_sample_47_nr8.mzML Peak area;250924_EI_sample_48_nr8.mzML Peak area;250924_EI_sample_4_nr8.mzML Peak area;250924_EI_sample_5_nr8.mzML Peak area;250924_EI_sample_6_nr8.mzML Peak area;250924_EI_sample_7_nr8.mzML Peak area;250924_EI_sample_8_nr8.mzML Peak area;250924_EI_sample_9_nr8.mzML Peak area;250924_EI_sample_PF_10_1_nr8.mzML Peak area;250924_EI_sample_PF_10_2_nr8.mzML Peak area;250924_EI_sample_PF_12_1_nr8.mzML Peak area;250924_EI_sample_PF_12_2_nr8.mzML Peak area;250924_EI_sample_PF_1_1_nr8.mzML Peak area;250924_EI_sample_PF_1_2_nr8.mzML Peak area;250924_EI_sample_PF_2_1_nr8.mzML Peak area;250924_EI_sample_PF_2_2_nr8.mzML Peak area;250924_EI_sample_PF_3_1_nr8.mzML Peak area;250924_EI_sample_PF_3_2_nr8.mzML Peak area;250924_EI_sample_PF_4_1_nr8.mzML Peak area;250924_EI_sample_PF_4_2_nr8.mzML Peak area;250924_EI_sample_PF_5_1_nr8.mzML Peak area;250924_EI_sample_PF_5_2_nr8.mzML Peak area;250924_EI_sample_PF_6_1_nr8.mzML Peak area;250924_EI_sample_PF_6_2_nr8.mzML Peak area;250924_EI_sample_PF_7_1_nr8.mzML Peak area;250924_EI_sample_PF_7_2_nr8.mzML Peak area;250924_EI_sample_PF_8_1_nr8.mzML Peak area;250924_EI_sample_PF_8_2_nr8.mzML Peak area;250924_EI_sample_PF_9_1_nr8.mzML Peak area;250924_EI_sample_PF_9_2_nr8.mzML Peak area
98;393.9831434740963;1.3108078;17519.832;19994.271;17374.67;17290.0;20208.752;17764.916;18060.973;9330.311;10843.095;31347.104;18066.184;23175.855;20715.908;5026.399;7218.4097;17257.9;18048.395;25795.646;11793.819;14535.003;7819.7915;6192.3086;4779.8833;6362.0864;6112.751;3571.9219;8876.096;7848.2573;10582.423;8752.846;7704.455;8992.667;6297.16;3915.267;3384.2803;5373.573;4127.7456;2221.3176;6098.382;2202.426;3125.226;1353.8577;4898.919;2756.687;5064.5107;3402.9658;4938.704;11642.792;12449.357;27135.54;23854.322;22795.01;7106.172;10009.817;7859.7974;20309.361;43384.902;37215.535;14179.118;9942.652;11634.59;31064.842;15444.44;10234.332;8488.819;11563.706;13170.086;8311.465;10285.997;20014.54;3931.1428;11578.44;11316.237;12958.914;10413.925
102;437.9737205069375;1.312114;11982.136;13155.386;11548.334;11519.947;13183.464;11946.364;11893.952;6076.0913;7079.5137;20281.115;11853.866;15544.591;13658.101;3310.3967;4817.231;11498.541;11641.439;17028.227;7709.8975;9473.572;5018.635;4113.348;3157.8774;4136.6445;4117.558;2324.805;5939.311;5213.878;6925.499;5719.238;5054.0576;5885.077;4090.1394;2601.1248;2165.4375;3441.827;2677.575;1365.2262;4034.6096;1416.2087;1930.7938;814.091;3211.5574;1748.9159;3297.2964;2156.462;3196.8755;7722.0864;8222.405;18026.088;15513.577;15287.111;4642.6484;6535.0493;5014.988;13410.88;27690.793;24414.256;9503.882;6570.018;7821.6934;20633.139;10134.81;6799.494;5693.435;7444.677;8618.503;5429.7803;6960.8774;13218.697;2548.4468;7519.3555;7595.3296;8416.895;6757.7056
105;111.00757854878115;1.3129454;3520.3289;4076.4294;3932.0005;3744.4146;4513.5;3750.0798;3768.5115;2103.0889;2364.231;6666.4463;3770.1294;4962.999;4209.3535;1323.0018;1778.125;3615.941;3606.663;5242.4976;2717.8918;2886.8245;1786.3691;1545.8716;1290.1404;1600.3354;1553.1527;1042.0173;2051.5046;1851.4556;2435.824;2046.535;1862.2335;2060.4998;1533.182;1104.2206;983.00824;1481.7386;1155.3813;0;1598.4523;825.3583;1238.0183;662.50586;1270.6234;857.67413;1365.942;897.0109;1286.3586;2546.069;2726.0496;5577.406;4865.049;4957.962;1663.3845;2307.3093;2420.9133;4583.998;10064.391;7778.4907;3171.5295;2276.8257;2631.3645;6701.9463;3394.4536;2456.068;2018.7894;3297.9873;2828.2568;2045.8678;2428.9429;4216.086;1099.152;2679.8958;2515.0786;2891.804;2388.559
120;542.0592772187291;1.3509431;842.0319;0;0;0;0;0;0;0;0;1419.7869;0;0;0;899.6423;888.9547;1393.5245;881.942;984.69415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;708.2087;0;0;0;0;0;0;0;0;0;0;1579.7257;0;0;1549.3519;833.07965;0;0;1106.9801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;165.05477080506571;1.3532306;1419.5095;1381.8495;0;1619.2002;0;0;1149.6951;1141.3014;0;2005.4706;0;2262.048;0;1499.3152;1529.329;1285.3619;1277.2112;1368.8827;1423.9998;1170.1439;1019.67816;1851.1615;1542.042;1760.4513;2546.13;1306.028;1298.4208;908.6174;0;0;1198.6351;901.32776;1790.8118;965.26404;1123.8617;0;1167.8616;1519.983;0;896.7609;858.4168;0;733.0957;707.1855;0;749.9966;721.56464;1652.0479;0;1755.1652;1895.8086;1970.2183;1467.2162;605.7198;839.4651;884.0524;0;1026.716;0;0;900.95404;1211.9996;1374.6704;0;0;0;1122.4071;0;652.4641;1692.3468;641.99786;0;0;903.0366;1081.6235
136;229.15473014708317;1.35519;3382.108;3179.1184;3457.859;3245.474;3470.5635;2757.615;3669.019;3022.6797;2551.4744;3864.5176;2498.483;2305.0933;0;2566.802;2991.6904;3111.41;3957.583;2679.8115;2663.9048;2937.8008;2774.9197;3088.9727;2723.0918;3373.224;3229.042;3245.263;2262.244;3285.6948;3260.812;3277.452;3115.8042;3229.819;3040.9116;3238.0017;3097.643;2932.4075;3120.4998;2973.6985;2890.2175;3063.3738;0;0;2189.3572;2483.3213;2640.2632;3174.6082;3119.3513;2669.7236;3355.2544;2330.6528;2484.9478;3592.9731;2969.5254;3012.954;0;4965.753;4279.7754;3437.8455;3157.4795;3291.9229;2897.9233;3353.9092;2941.9763;2931.6377;2546.411;2904.675;2793.5146;2766.3625;2647.2563;2637.952;2798.3916;2697.9583;2704.0881;2649.2815;2880.3872
140;276.10821809808164;1.3557761;0;0;637.97064;658.20996;462.97516;0;0;1643.4316;0;0;657.3853;0;183.61241;0;0;0;0;0;0;10914.242;2828.9624;0;0;0;0;0;0;0;957.68427;617.5211;339.30505;209.62094;0;0;525.2731;927.4256;0;0;0;0;506.12256;0;0;289.24286;0;533.8622;279.36713;0;3494.466;0;0;0;0;204.64612;997.9368;1260.8086;224.3653;0;0;0;0;0;0;819.78296;0;570.71533;0;581.39087;0;0;0;0;0;0;449.0903
159;152.0653456708327;1.3616245;0;4123.78;3497.8894;3954.8997;0;0;0;0;0;3389.3997;0;0;0;3513.0024;6401.8833;3907.3438;3578.1604;0;3560.4749;3513.857;5422.6636;3300.1704;0;4049.8135;7612.6978;6810.592;3203.4038;0;0;0;8994.16;0;3717.1892;7551.9614;0;0;9299.987;0;0;3846.685;3191.9023;0;6307.738;6683.408;0;3903.3606;7001.393;0;0;0;6012.7505;2885.6157;5225.338;0;3626.1123;0;0;4610.2915;0;3804.814;6619.2383;4184.5063;4779.2227;0;0;3013.548;3653.3252;0;0;0;6513.6772;0;0;7631.1406;4503.423
160;307.0845102704919;1.3626958;0;2430.6252;0;0;0;0;0;0;0;1238.462;0;0;0;2291.5652;1794.6521;1314.2919;0;0;1865.1655;1252.1652;1916.7617;5030.987;0;3578.567;4331.6904;3449.698;1261.1013;0;2610.1438;0;0;0;2393.0054;3194.5278;2051.5896;0;0;1562.8993;2379.1357;2612.1472;0;0;1707.1508;1803.0525;1619.7697;0;0;0;0;0;1544.1401;0;0;0;0;0;0;1402.8333;0;0;0;1917.8054;1654.1565;0;0;0;0;1749.6517;0;0;1406.9038;2593.9639;0;1499.3475;0
161;86.09645406865299;1.3632681;0;3409.2688;4024.3232;0;0;0;0;1742.3057;0;0;0;0;0;3005.422;3247.4792;2928.6016;0;0;2790.041;1816.1411;1680.7482;4304.633;0;3866.7292;5391.7427;2976.3008;2522.314;0;3841.0967;0;0;0;4045.186;2555.6304;2602.3032;0;0;3444.4866;2534.3333;2086.2834;0;0;2425.309;1702.131;1952.204;0;0;0;0;0;3605.0667;4963.606;2717.4167;0;0;0;0;1981.2135;2183.4824;2292.5027;0;0;2258.757;0;0;0;0;1843.9202;0;0;0;4460.061;1349.0343;0;0
163;136.06428941262593;1.3637332;4467.1455;4695.5757;6324.6836;6090.7163;5060.8384;3984.3306;2338.3933;1528.928;0;4228.3604;4135.011;5104.542;3853.519;3974.5542;4710.105;5525.676;3596.1191;4330.1553;3122.2764;3264.5103;3159.785;5259.8203;4564.811;5958.5737;4035.7568;4752.0303;5934.568;0;4707.499;4049.3237;4147.524;3323.0398;5661.963;3572.0002;5222.3193;0;3504.0413;7752.983;4699.8228;5159.12;4199.335;5391.9653;3357.576;3590.9229;4865.752;5513.541;4831.69;0;4758.551;5213.7334;4495.9116;5854.8057;7097.871;5585.984;2877.411;4973.335;4317.522;4167.0415;4420.382;5001.069;4619.673;3176.141;3791.1824;4671.8774;0;6039.8906;4403.164;2356.0962;6157.5273;0;5893.53;3044.003;3851.7854;2440.754;4590.637
164;268.1040223242949;1.3644403;8692.088;8720.713;12365.328;11932.458;0;6203.7925;0;0;6083.4473;6454.017;6709.291;8492.996;6171.6885;6719.9272;0;12449.768;6239.938;8631.933;5000.651;4555.6904;0;8518.404;8301.068;11148.9375;4948.545;9232.037;13345.757;0;0;0;0;6951.2485;10166.791;6900.0044;0;0;6270.773;0;0;10992.402;9169.902;11921.06;6465.01;7309.098;0;0;11085.63;0;0;10157.388;0;11168.276;15878.993;0;5221.5513;11391.282;0;8516.918;0;10795.83;9553.997;5389.592;6782.6562;9737.401;6280.9033;12908.292;0;0;14477.342;5762.9863;13615.959;0;0;3716.4548;9059.597
179;152.057437382358;1.38135;0;0;0;3356.121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4200.3184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4669.0483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185;153.01821165019467;1.39013;1613.6703;0;0;0;0;0;0;0;3472.1604;0;0;0;0;0;0;0;0;0;0;0;0;2369.7441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2678.7583;0;0;0;1404.7142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
186;385.9937493423966;1.3901361;1461.4661;0;1358.717;1224.2799;0;431.80548;2165.4543;2375.4675;0;0;646.6825;811.87006;835.58154;0;0;0;0;466.2482;0;0;3113.4846;0;1980.3702;2133.9578;0;0;0;1009.0575;1461.8613;2247.3855;2511.4111;1241.0873;0;3439.0938;2193.353;1884.3916;0;0;0;0;1438.5009;965.02856;0;0;1674.9847;0;1657.2338;0;0;427.612;0;0;737.3072;0;0;1020.3293;0;0;0;617.9526;0;0;513.308;0;0;0;0;0;0;778.71967;773.8874;0;0;0;986.1339
218;385.993790781732;1.4354819;635.2639;661.5644;638.1928;660.56384;0;488.92468;873.6222;616.6664;2953.0984;0;520.55457;477.71814;620.93146;761.97656;620.8883;0;558.01025;446.0994;613.85223;879.2657;1022.80664;937.4292;789.422;990.0686;824.73956;805.13916;433.6754;683.203;854.96686;862.7543;879.7285;778.067;853.33795;1084.0536;941.7368;873.8289;2272.9177;771.7681;729.873;886.83264;627.88934;719.16315;2206.4968;2408.395;768.69037;825.25555;762.51056;2437.5186;372.04263;515.9742;549.21857;0;603.08264;523.5084;799.41003;445.60278;330.5066;525.21515;585.7839;710.8653;561.90247;586.75085;565.253;3138.6245;723.17017;0;686.2772;733.4408;480.5162;599.79865;762.3118;2806.1897;532.1384;636.5458;618.3896
224;160.07579183396555;1.4423268;4642.601;0;5008.8994;0;4868.657;2916.21;5914.62;4710.9634;2586.7117;9126.503;0;2979.502;0;0;2884.7153;0;0;3346.3508;4827.2637;0;5529.2354;2839.9087;5531.305;7276.12;3699.5007;6119.6157;3459.342;3003.191;3882.9917;3617.834;2393.817;5132.888;0;3687.5906;2990.8945;4374.511;0;3450.072;4012.2407;3156.7148;3276.738;2104.37;2102.6306;2346.023;2098.103;2801.7642;2677.3452;2126.726;7769.579;2772.0295;0;0;4239.3936;4414.706;0;6247.1865;5618.014;0;1905.2675;4323.6353;0;2836.0273;0;1605.3796;2258.2786;2182.7642;0;0;3510.5874;1897.1031;1914.8993;0;2504.1245;0;2601.6072
252;274.09268215594676;1.4913306;627.83887;0;0;0;697.77765;540.0679;1178.3223;664.37085;0;0;0;0;0;0;0;0;734.8226;0;0;0;0;743.22314;0;1133.4075;0;0;463.93466;772.20935;1001.2083;861.96295;0;1036.81;0;975.19165;0;0;0;0;0;0;451.33093;0;565.9731;0;682.7343;650.68146;715.3269;0;0;404.326;0;0;0;0;0;0;648.9294;0;0;771.4385;0;915.22327;0;550.56995;0;0;591.6396;762.65576;422.90048;0;0;0;353.19373;487.7101;528.8785
259;385.9938420897958;1.5064169;588.16364;570.42413;569.66815;564.29926;0;488.2708;816.0333;685.65924;784.7322;0;449.6229;512.1599;566.169;659.5834;615.0005;0;480.2617;484.66312;570.5377;789.8664;983.6249;575.2346;771.46356;768.1391;734.8896;668.1972;420.89288;690.0565;657.3417;804.3668;805.4715;640.38824;777.5153;754.22217;701.5491;876.9696;743.11694;586.8943;718.2353;650.51605;607.6261;555.1745;713.6639;627.6005;735.7271;629.224;565.10767;888.51245;397.03485;420.9694;515.5281;0;500.88577;497.40976;588.55615;538.4763;375.03964;409.39084;579.2501;524.67804;607.6285;525.90106;534.0242;805.7915;593.2001;766.2243;612.05475;583.2969;432.9481;568.25275;526.7463;702.52966;440.24234;578.2003;598.1809
